11
epoch [1/500], loss:2.1635 Accuracy: 10122/50000
epoch [2/500], loss:1.8383 Accuracy: 17033/50000
epoch [3/500], loss:1.7208 Accuracy: 18886/50000
epoch [4/500], loss:1.6588 Accuracy: 20002/50000
epoch [5/500], loss:1.6156 Accuracy: 20839/50000
epoch [6/500], loss:1.5828 Accuracy: 21366/50000
epoch [7/500], loss:1.5563 Accuracy: 21859/50000
epoch [8/500], loss:1.5338 Accuracy: 22373/50000
epoch [9/500], loss:1.5144 Accuracy: 22664/50000
epoch [10/500], loss:1.4967 Accuracy: 23000/50000
epoch [11/500], loss:1.4814 Accuracy: 23386/50000
epoch [12/500], loss:1.4662 Accuracy: 23649/50000
epoch [13/500], loss:1.4531 Accuracy: 23895/50000
epoch [14/500], loss:1.4398 Accuracy: 24124/50000
epoch [15/500], loss:1.4281 Accuracy: 24382/50000
epoch [16/500], loss:1.4155 Accuracy: 24563/50000
epoch [17/500], loss:1.4039 Accuracy: 24833/50000
epoch [18/500], loss:1.3926 Accuracy: 25067/50000
epoch [19/500], loss:1.3822 Accuracy: 25253/50000
epoch [20/500], loss:1.3730 Accuracy: 25458/50000
epoch [21/500], loss:1.3640 Accuracy: 25655/50000
epoch [22/500], loss:1.3553 Accuracy: 25807/50000
epoch [23/500], loss:1.3474 Accuracy: 25973/50000
epoch [24/500], loss:1.3393 Accuracy: 26127/50000
epoch [25/500], loss:1.3315 Accuracy: 26254/50000
epoch [26/500], loss:1.3247 Accuracy: 26376/50000
epoch [27/500], loss:1.3175 Accuracy: 26559/50000
epoch [28/500], loss:1.3115 Accuracy: 26640/50000
epoch [29/500], loss:1.3041 Accuracy: 26800/50000
epoch [30/500], loss:1.2986 Accuracy: 26946/50000
epoch [31/500], loss:1.2927 Accuracy: 27019/50000
epoch [32/500], loss:1.2872 Accuracy: 27152/50000
epoch [33/500], loss:1.2808 Accuracy: 27147/50000
epoch [34/500], loss:1.2756 Accuracy: 27435/50000
epoch [35/500], loss:1.2711 Accuracy: 27505/50000
epoch [36/500], loss:1.2664 Accuracy: 27484/50000
epoch [37/500], loss:1.2617 Accuracy: 27621/50000
epoch [38/500], loss:1.2574 Accuracy: 27758/50000
epoch [39/500], loss:1.2528 Accuracy: 27903/50000
epoch [40/500], loss:1.2466 Accuracy: 27946/50000
epoch [41/500], loss:1.2435 Accuracy: 28050/50000
epoch [42/500], loss:1.2394 Accuracy: 28107/50000
epoch [43/500], loss:1.2347 Accuracy: 28193/50000
epoch [44/500], loss:1.2311 Accuracy: 28301/50000
epoch [45/500], loss:1.2265 Accuracy: 28392/50000
epoch [46/500], loss:1.2229 Accuracy: 28389/50000
epoch [47/500], loss:1.2186 Accuracy: 28547/50000
epoch [48/500], loss:1.2149 Accuracy: 28529/50000
epoch [49/500], loss:1.2106 Accuracy: 28674/50000
epoch [50/500], loss:1.2072 Accuracy: 28727/50000
epoch [51/500], loss:1.2034 Accuracy: 28775/50000
epoch [52/500], loss:1.1993 Accuracy: 28926/50000
epoch [53/500], loss:1.1965 Accuracy: 28927/50000
epoch [54/500], loss:1.1926 Accuracy: 29000/50000
epoch [55/500], loss:1.1891 Accuracy: 29082/50000
epoch [56/500], loss:1.1857 Accuracy: 29227/50000
epoch [57/500], loss:1.1824 Accuracy: 29228/50000
epoch [58/500], loss:1.1789 Accuracy: 29276/50000
epoch [59/500], loss:1.1757 Accuracy: 29344/50000
epoch [60/500], loss:1.1715 Accuracy: 29473/50000
epoch [61/500], loss:1.1695 Accuracy: 29421/50000
epoch [62/500], loss:1.1653 Accuracy: 29479/50000
epoch [63/500], loss:1.1633 Accuracy: 29554/50000
epoch [64/500], loss:1.1599 Accuracy: 29628/50000
epoch [65/500], loss:1.1564 Accuracy: 29742/50000
epoch [66/500], loss:1.1535 Accuracy: 29679/50000
epoch [67/500], loss:1.1506 Accuracy: 29774/50000
epoch [68/500], loss:1.1479 Accuracy: 29778/50000
epoch [69/500], loss:1.1457 Accuracy: 29830/50000
epoch [70/500], loss:1.1415 Accuracy: 29940/50000
epoch [71/500], loss:1.1396 Accuracy: 29977/50000
epoch [72/500], loss:1.1379 Accuracy: 30094/50000
epoch [73/500], loss:1.1336 Accuracy: 30090/50000
epoch [74/500], loss:1.1328 Accuracy: 30078/50000
epoch [75/500], loss:1.1281 Accuracy: 30233/50000
epoch [76/500], loss:1.1260 Accuracy: 30180/50000
epoch [77/500], loss:1.1230 Accuracy: 30240/50000
epoch [78/500], loss:1.1219 Accuracy: 30252/50000
epoch [79/500], loss:1.1183 Accuracy: 30375/50000
epoch [80/500], loss:1.1159 Accuracy: 30377/50000
epoch [81/500], loss:1.1133 Accuracy: 30457/50000
epoch [82/500], loss:1.1103 Accuracy: 30473/50000
epoch [83/500], loss:1.1091 Accuracy: 30522/50000
epoch [84/500], loss:1.1058 Accuracy: 30591/50000
epoch [85/500], loss:1.1034 Accuracy: 30622/50000
epoch [86/500], loss:1.1012 Accuracy: 30672/50000
epoch [87/500], loss:1.0992 Accuracy: 30703/50000
epoch [88/500], loss:1.0962 Accuracy: 30776/50000
epoch [89/500], loss:1.0935 Accuracy: 30801/50000
epoch [90/500], loss:1.0922 Accuracy: 30830/50000
epoch [91/500], loss:1.0894 Accuracy: 30909/50000
epoch [92/500], loss:1.0870 Accuracy: 30913/50000
epoch [93/500], loss:1.0851 Accuracy: 30988/50000
epoch [94/500], loss:1.0825 Accuracy: 31071/50000
epoch [95/500], loss:1.0805 Accuracy: 31039/50000
epoch [96/500], loss:1.0779 Accuracy: 31142/50000
epoch [97/500], loss:1.0760 Accuracy: 31154/50000
epoch [98/500], loss:1.0734 Accuracy: 31219/50000
epoch [99/500], loss:1.0710 Accuracy: 31279/50000
epoch [100/500], loss:1.0693 Accuracy: 31251/50000
epoch [101/500], loss:1.0680 Accuracy: 31297/50000
