tensor(9489., dtype=torch.float64)
epoch [50/2000], loss:1.7588 Accuracy: 10744/50000
epoch [100/2000], loss:1.6292 Accuracy: 11875/50000
epoch [150/2000], loss:1.5445 Accuracy: 12393/50000
epoch [200/2000], loss:1.4669 Accuracy: 12606/50000
epoch [250/2000], loss:1.4192 Accuracy: 12837/50000
epoch [300/2000], loss:1.3573 Accuracy: 12761/50000
epoch [350/2000], loss:1.3252 Accuracy: 12865/50000
epoch [400/2000], loss:1.2975 Accuracy: 13085/50000
epoch [450/2000], loss:1.2678 Accuracy: 13035/50000
epoch [500/2000], loss:1.2339 Accuracy: 12953/50000
epoch [550/2000], loss:1.2176 Accuracy: 13070/50000
epoch [600/2000], loss:1.1976 Accuracy: 13097/50000
epoch [650/2000], loss:1.1771 Accuracy: 13204/50000
epoch [700/2000], loss:1.1531 Accuracy: 13157/50000
epoch [750/2000], loss:1.1401 Accuracy: 13118/50000
epoch [800/2000], loss:1.1266 Accuracy: 13273/50000
epoch [850/2000], loss:1.1085 Accuracy: 13246/50000
epoch [900/2000], loss:1.0972 Accuracy: 13209/50000
epoch [950/2000], loss:1.0949 Accuracy: 13261/50000
epoch [1000/2000], loss:1.0747 Accuracy: 13115/50000
epoch [1050/2000], loss:1.0676 Accuracy: 13197/50000
epoch [1100/2000], loss:1.0696 Accuracy: 13128/50000
epoch [1150/2000], loss:1.0633 Accuracy: 13148/50000
epoch [1200/2000], loss:1.0520 Accuracy: 13362/50000
epoch [1250/2000], loss:1.0372 Accuracy: 13424/50000
epoch [1300/2000], loss:1.0326 Accuracy: 13439/50000
epoch [1350/2000], loss:1.0249 Accuracy: 13354/50000
epoch [1400/2000], loss:1.0269 Accuracy: 13318/50000
epoch [1450/2000], loss:1.0243 Accuracy: 13281/50000
epoch [1500/2000], loss:1.0136 Accuracy: 13258/50000
epoch [1550/2000], loss:1.0133 Accuracy: 13396/50000
epoch [1600/2000], loss:1.0112 Accuracy: 13350/50000
epoch [1650/2000], loss:1.0055 Accuracy: 13408/50000
epoch [1700/2000], loss:1.0103 Accuracy: 13431/50000
epoch [1750/2000], loss:1.0028 Accuracy: 13303/50000
epoch [1800/2000], loss:0.9898 Accuracy: 13357/50000
epoch [1850/2000], loss:0.9774 Accuracy: 13485/50000
epoch [1900/2000], loss:0.9750 Accuracy: 13332/50000
epoch [1950/2000], loss:0.9754 Accuracy: 13572/50000
epoch [2000/2000], loss:0.9617 Accuracy: 13513/50000
tensor(50000., dtype=torch.float64)
epoch [1/2000], loss:3.0809 Accuracy: 13561/50000
epoch [2/2000], loss:2.3355 Accuracy: 16829/50000
epoch [3/2000], loss:2.0994 Accuracy: 18292/50000
epoch [4/2000], loss:1.9229 Accuracy: 19369/50000
epoch [5/2000], loss:1.8132 Accuracy: 19999/50000
epoch [6/2000], loss:1.7193 Accuracy: 20577/50000
epoch [7/2000], loss:1.6544 Accuracy: 21357/50000
epoch [8/2000], loss:1.6069 Accuracy: 21791/50000
epoch [9/2000], loss:1.5437 Accuracy: 22175/50000
epoch [10/2000], loss:1.5170 Accuracy: 22641/50000
epoch [11/2000], loss:1.4779 Accuracy: 22990/50000
epoch [12/2000], loss:1.4526 Accuracy: 23521/50000
epoch [13/2000], loss:1.4356 Accuracy: 23616/50000
epoch [14/2000], loss:1.4092 Accuracy: 23847/50000
epoch [15/2000], loss:1.3915 Accuracy: 24435/50000
epoch [16/2000], loss:1.3730 Accuracy: 24544/50000
epoch [17/2000], loss:1.3657 Accuracy: 24925/50000
epoch [18/2000], loss:1.3588 Accuracy: 25045/50000
epoch [19/2000], loss:1.3453 Accuracy: 25338/50000
epoch [20/2000], loss:1.3238 Accuracy: 25517/50000
epoch [21/2000], loss:1.3208 Accuracy: 25757/50000
epoch [22/2000], loss:1.3072 Accuracy: 25867/50000
epoch [23/2000], loss:1.2996 Accuracy: 25965/50000
epoch [24/2000], loss:1.2941 Accuracy: 26298/50000
epoch [25/2000], loss:1.2910 Accuracy: 26060/50000
epoch [26/2000], loss:1.2712 Accuracy: 26477/50000
epoch [27/2000], loss:1.2799 Accuracy: 26634/50000
epoch [28/2000], loss:1.2690 Accuracy: 26789/50000
epoch [29/2000], loss:1.2660 Accuracy: 26582/50000
epoch [30/2000], loss:1.2504 Accuracy: 27199/50000
epoch [31/2000], loss:1.2492 Accuracy: 27117/50000
epoch [32/2000], loss:1.2502 Accuracy: 27282/50000
epoch [33/2000], loss:1.2360 Accuracy: 27284/50000
epoch [34/2000], loss:1.2415 Accuracy: 27449/50000
epoch [35/2000], loss:1.2413 Accuracy: 27439/50000
epoch [36/2000], loss:1.2259 Accuracy: 27507/50000
epoch [37/2000], loss:1.2288 Accuracy: 27611/50000
epoch [38/2000], loss:1.2249 Accuracy: 27873/50000
epoch [39/2000], loss:1.2181 Accuracy: 27829/50000
epoch [40/2000], loss:1.2117 Accuracy: 28030/50000
epoch [41/2000], loss:1.2101 Accuracy: 28057/50000
epoch [42/2000], loss:1.2114 Accuracy: 28128/50000
epoch [43/2000], loss:1.2083 Accuracy: 28243/50000
epoch [44/2000], loss:1.1947 Accuracy: 28085/50000
epoch [45/2000], loss:1.1994 Accuracy: 28226/50000
epoch [46/2000], loss:1.1953 Accuracy: 28393/50000
epoch [47/2000], loss:1.1901 Accuracy: 28413/50000
epoch [48/2000], loss:1.1920 Accuracy: 28512/50000
epoch [49/2000], loss:1.1886 Accuracy: 28614/50000
epoch [50/2000], loss:1.1764 Accuracy: 28780/50000
epoch [51/2000], loss:1.1672 Accuracy: 28787/50000
epoch [52/2000], loss:1.1693 Accuracy: 28878/50000
epoch [53/2000], loss:1.1796 Accuracy: 28875/50000
epoch [54/2000], loss:1.1617 Accuracy: 28920/50000
epoch [55/2000], loss:1.1591 Accuracy: 28964/50000
epoch [56/2000], loss:1.1643 Accuracy: 28876/50000
epoch [57/2000], loss:1.1576 Accuracy: 29016/50000
epoch [58/2000], loss:1.1540 Accuracy: 29204/50000
epoch [59/2000], loss:1.1627 Accuracy: 29132/50000
epoch [60/2000], loss:1.1545 Accuracy: 29240/50000
epoch [61/2000], loss:1.1538 Accuracy: 29272/50000
epoch [62/2000], loss:1.1498 Accuracy: 29315/50000
epoch [63/2000], loss:1.1458 Accuracy: 29117/50000
epoch [64/2000], loss:1.1427 Accuracy: 29276/50000
epoch [65/2000], loss:1.1541 Accuracy: 29346/50000
epoch [66/2000], loss:1.1423 Accuracy: 29489/50000
epoch [67/2000], loss:1.1394 Accuracy: 29554/50000
epoch [68/2000], loss:1.1399 Accuracy: 29574/50000
epoch [69/2000], loss:1.1335 Accuracy: 29532/50000
epoch [70/2000], loss:1.1298 Accuracy: 29694/50000
epoch [71/2000], loss:1.1282 Accuracy: 29725/50000
epoch [72/2000], loss:1.1342 Accuracy: 29758/50000
epoch [73/2000], loss:1.1220 Accuracy: 29748/50000
epoch [74/2000], loss:1.1204 Accuracy: 29866/50000
epoch [75/2000], loss:1.1211 Accuracy: 29902/50000
epoch [76/2000], loss:1.1216 Accuracy: 29756/50000
epoch [77/2000], loss:1.1127 Accuracy: 29772/50000
epoch [78/2000], loss:1.1166 Accuracy: 29895/50000
epoch [79/2000], loss:1.1139 Accuracy: 29934/50000
epoch [80/2000], loss:1.1133 Accuracy: 30113/50000
epoch [81/2000], loss:1.1124 Accuracy: 29694/50000
epoch [82/2000], loss:1.1011 Accuracy: 30050/50000
epoch [83/2000], loss:1.1090 Accuracy: 30081/50000
epoch [84/2000], loss:1.1028 Accuracy: 30175/50000
epoch [85/2000], loss:1.1032 Accuracy: 30190/50000
epoch [86/2000], loss:1.0956 Accuracy: 30316/50000
epoch [87/2000], loss:1.0997 Accuracy: 30354/50000
epoch [88/2000], loss:1.0977 Accuracy: 30239/50000
epoch [89/2000], loss:1.0913 Accuracy: 30503/50000
epoch [90/2000], loss:1.0921 Accuracy: 30389/50000
epoch [91/2000], loss:1.0920 Accuracy: 30499/50000
epoch [92/2000], loss:1.0882 Accuracy: 30588/50000
epoch [93/2000], loss:1.0910 Accuracy: 30447/50000
epoch [94/2000], loss:1.0864 Accuracy: 30494/50000
epoch [95/2000], loss:1.0861 Accuracy: 30533/50000
epoch [96/2000], loss:1.0837 Accuracy: 30616/50000
epoch [97/2000], loss:1.0867 Accuracy: 30513/50000
epoch [98/2000], loss:1.0768 Accuracy: 30716/50000
epoch [99/2000], loss:1.0879 Accuracy: 30667/50000
epoch [100/2000], loss:1.0897 Accuracy: 30784/50000
epoch [101/2000], loss:1.0789 Accuracy: 30750/50000
epoch [102/2000], loss:1.0772 Accuracy: 30727/50000
epoch [103/2000], loss:1.0679 Accuracy: 30850/50000
epoch [104/2000], loss:1.0802 Accuracy: 30702/50000
